iter	Passed	Remaining
0	1	1223
1	2	1101
2	3	1210
3	4	1132
4	5	1082
5	6	1025
6	7	999
7	7	982
8	8	965
9	9	941
10	10	926
11	11	912
12	11	898
13	12	897
14	13	890
15	14	886
16	15	880
17	16	873
18	16	865
19	17	860
20	18	877
21	19	876
22	20	870
23	21	867
24	22	867
25	23	862
26	23	859
27	24	854
28	25	852
29	26	849
30	27	848
31	27	846
32	28	842
33	29	838
34	30	837
35	31	834
36	31	830
37	33	837
38	34	840
39	34	838
40	35	834
41	36	836
42	38	863
43	39	862
44	40	862
45	41	860
46	42	856
47	43	853
48	43	850
49	44	847
50	45	845
51	46	843
52	47	840
53	47	838
54	49	842
55	49	841
56	50	838
57	51	836
58	52	834
59	53	832
60	53	830
61	54	829
62	55	827
63	56	825
64	57	824
65	58	822
66	58	821
67	59	819
68	60	816
69	61	815
70	62	815
71	63	821
72	64	823
73	65	819
74	66	816
75	67	814
76	67	812
77	68	810
78	69	808
79	69	804
80	70	800
81	71	796
82	71	789
83	72	785
84	72	782
85	73	779
86	73	775
87	74	777
88	75	775
89	76	773
90	78	779
91	79	781
92	79	778
93	80	775
94	81	773
95	81	772
96	82	769
97	83	767
98	84	764
99	84	762
100	85	761
101	86	759
102	87	757
103	87	755
104	88	753
105	89	753
106	90	751
107	91	751
108	92	752
109	93	757
110	94	759
111	96	764
112	97	763
113	98	761
114	98	759
115	99	757
116	99	754
117	100	751
118	101	749
119	101	746
120	102	744
121	102	740
122	103	738
123	104	735
124	104	733
125	105	731
126	105	728
127	106	725
128	107	725
129	108	729
130	110	730
131	110	729
132	111	727
133	112	725
134	112	723
135	113	720
136	114	719
137	114	717
138	115	715
139	116	713
140	116	711
141	117	708
142	117	706
143	118	704
144	119	702
145	119	700
146	120	698
147	121	696
148	121	694
149	122	693
150	124	697
151	124	696
152	125	694
153	126	692
154	126	690
155	127	688
156	127	686
157	128	684
158	129	682
159	129	680
160	130	677
161	130	675
162	131	673
163	131	671
164	132	669
165	132	667
166	133	665
167	134	663
168	134	662
169	135	660
170	135	658
171	136	656
172	137	655
173	138	656
174	139	655
175	139	654
176	140	652
177	140	650
178	141	649
179	142	647
180	142	646
181	143	644
182	143	642
183	144	641
184	145	639
185	145	637
186	146	636
187	146	634
188	147	632
189	148	631
190	149	633
191	150	632
192	150	630
193	151	629
194	152	628
195	153	628
196	154	628
197	154	626
198	155	625
199	155	623
200	156	622
201	157	621
202	157	620
203	158	618
204	159	617
205	160	618
206	161	617
207	161	615
208	162	614
209	162	613
210	163	611
211	164	610
212	164	608
213	165	607
214	165	605
215	167	606
216	168	606
217	168	606
218	169	604
219	170	603
220	170	601
221	171	600
222	172	599
223	172	598
224	173	596
225	173	595
226	174	594
227	175	593
228	175	592
229	176	590
230	177	589
231	177	588
232	178	587
233	178	585
234	179	584
235	180	585
236	181	583
237	182	582
238	183	583
239	184	582
240	184	581
241	185	580
242	186	579
243	186	578
244	187	577
245	187	576
246	188	574
247	189	573
248	189	572
249	190	570
250	190	569
251	191	568
252	192	567
253	192	566
254	193	565
255	194	564
256	194	563
257	195	561
258	195	560
259	196	559
260	197	559
261	198	559
262	199	559
263	200	559
264	201	558
265	201	557
266	202	556
267	203	554
268	203	553
269	204	552
270	205	551
271	205	550
272	206	549
273	206	548
274	207	547
275	208	545
276	208	544
277	209	543
278	209	542
279	210	541
280	211	540
281	211	539
282	212	538
283	213	539
284	214	538
285	215	537
286	215	536
287	216	535
288	217	534
289	218	534
290	218	533
291	219	532
292	220	531
293	220	529
294	221	528
295	221	527
296	222	526
297	223	525
298	223	524
299	224	524
300	225	523
301	226	522
302	226	522
303	228	522
304	229	521
305	229	521
306	230	520
307	231	520
308	232	519
309	233	519
310	233	518
311	235	518
312	235	517
313	236	516
314	236	515
315	237	514
316	238	513
317	239	512
318	239	511
319	240	510
320	241	510
321	242	509
322	242	509
323	243	508
324	244	507
325	245	506
326	245	505
327	246	504
328	246	503
329	247	502
330	248	501
331	249	501
332	249	499
333	250	498
334	250	498
335	252	498
336	252	497
337	253	496
338	254	495
339	255	495
340	256	496
341	258	498
342	259	497
343	260	496
344	261	496
345	262	495
346	262	494
347	263	493
348	264	493
349	265	492
350	266	491
351	266	490
352	267	489
353	267	488
354	268	487
355	269	486
356	269	486
357	270	485
358	271	484
359	272	484
360	272	483
361	273	482
362	274	481
363	275	480
364	276	480
365	276	479
366	277	478
367	278	478
368	279	477
369	279	476
370	280	475
371	281	474
372	281	473
373	282	472
374	283	472
375	284	471
376	284	470
377	285	469
378	286	468
379	287	469
380	288	468
381	289	468
382	290	467
383	290	466
384	291	465
385	292	464
386	292	463
387	293	462
388	293	461
389	294	460
390	295	459
391	296	459
392	296	458
393	297	457
394	297	456
395	298	455
396	299	454
397	299	453
398	300	453
399	302	453
400	303	453
401	304	452
402	304	451
403	305	450
404	306	449
405	307	449
406	308	448
407	308	447
408	309	447
409	310	446
410	310	445
