iter	Passed	Remaining
0	0	67
1	1	76
2	2	80
3	3	80
4	4	82
5	5	80
6	5	76
7	6	76
8	7	76
9	8	76
10	9	76
11	10	75
12	11	74
13	12	73
14	12	72
15	13	70
16	14	69
17	14	67
18	15	66
19	16	65
20	17	64
21	17	63
22	18	62
23	19	62
24	20	62
25	21	60
26	22	59
27	22	57
28	23	56
29	23	55
30	24	54
31	24	52
32	25	51
33	25	50
34	26	49
35	27	48
36	27	46
37	28	45
38	28	44
39	29	43
40	29	42
41	30	41
42	30	40
43	31	39
44	31	38
45	32	37
46	32	36
47	33	36
48	33	35
49	34	34
50	34	33
51	35	32
52	36	31
53	36	31
54	36	30
55	37	29
56	38	28
57	38	27
58	39	27
59	39	26
60	40	25
61	40	25
62	41	24
63	41	23
64	42	22
65	42	22
66	43	21
67	43	20
68	44	19
69	45	19
70	45	18
71	46	17
72	46	17
73	47	16
74	47	15
75	48	15
76	48	14
77	49	13
78	49	13
79	50	12
80	51	11
81	51	11
82	52	10
83	52	10
84	53	9
85	53	8
86	54	8
87	55	7
88	55	6
89	56	6
90	56	5
91	57	4
92	57	4
93	58	3
94	58	3
95	59	2
96	59	1
97	60	1
98	60	0
99	61	0
